id,disposition,mission
TIC 162473307,FALSE POSITIVE,K2
TIC 9669622,CANDIDATE,K2
TIC 220604303,FALSE POSITIVE,K2
TIC 73510019,CANDIDATE,K2
TIC 73510019,CANDIDATE,K2
TIC 12727298,CANDIDATE,K2
TIC 12727298,CANDIDATE,K2
TIC 48872108,CANDIDATE,K2
TIC 48872108,CANDIDATE,K2
TIC 50176048,CANDIDATE,K2
TIC 49041158,CANDIDATE,K2
TIC 73355325,CANDIDATE,K2
TIC 73355325,CANDIDATE,K2
TIC 73355325,CANDIDATE,K2
TIC 73355325,CANDIDATE,K2
TIC 73355325,CANDIDATE,K2
TIC 48913354,CANDIDATE,K2
TIC 48913354,CANDIDATE,K2
TIC 49040871,FALSE POSITIVE,K2
TIC 162786866,CANDIDATE,K2
TIC 437486495,CANDIDATE,K2
TIC 73975747,FALSE POSITIVE,K2
TIC 73975747,FALSE POSITIVE,K2
TIC 73975747,FALSE POSITIVE,K2
TIC 73975747,FALSE POSITIVE,K2
TIC 73060581,CANDIDATE,K2
TIC 73060581,CANDIDATE,K2
TIC 73060986,CANDIDATE,K2
TIC 73060986,CANDIDATE,K2
TIC 73060986,CANDIDATE,K2
TIC 49166516,CANDIDATE,K2
TIC 437578715,FALSE POSITIVE,K2
TIC 437578715,FALSE POSITIVE,K2
TIC 437578715,FALSE POSITIVE,K2
TIC 437578715,FALSE POSITIVE,K2
TIC 49980826,CANDIDATE,K2
TIC 49980826,CANDIDATE,K2
TIC 49980826,CANDIDATE,K2
TIC 49980826,CANDIDATE,K2
TIC 73827803,CANDIDATE,K2
TIC 287826852,CANDIDATE,K2
TIC 50091616,CANDIDATE,K2
TIC 204574260,CANDIDATE,K2
TIC 204574260,CANDIDATE,K2
TIC 204574304,CANDIDATE,K2
TIC 48960705,CANDIDATE,K2
TIC 410987459,CANDIDATE,K2
TIC 52394838,CANDIDATE,K2
TIC 398378460,CANDIDATE,K2
TIC 413551134,FALSE POSITIVE,K2
TIC 413941417,CANDIDATE,K2
TIC 413941417,CANDIDATE,K2
TIC 52482964,CANDIDATE,K2
TIC 414150513,CANDIDATE,K2
TIC 414150513,CANDIDATE,K2
TIC 52897584,CANDIDATE,K2
TIC 52897229,CANDIDATE,K2
TIC 414334923,CANDIDATE,K2
TIC 52901037,CANDIDATE,K2
TIC 413931133,CANDIDATE,K2
TIC 413931133,CANDIDATE,K2
TIC 413931133,FALSE POSITIVE,K2
TIC 12822755,CANDIDATE,K2
TIC 402313506,CANDIDATE,K2
TIC 437700900,CANDIDATE,K2
TIC 262467679,CANDIDATE,K2
TIC 262467679,CANDIDATE,K2
TIC 262467679,CANDIDATE,K2
TIC 262467679,CANDIDATE,K2
TIC 240849748,CANDIDATE,K2
TIC 240849748,CANDIDATE,K2
TIC 240849748,CANDIDATE,K2
TIC 240849748,CANDIDATE,K2
TIC 335920123,CANDIDATE,K2
TIC 437695245,CONFIRMED,K2
TIC 437695245,CONFIRMED,K2
TIC 437695245,CONFIRMED,K2
TIC 240810401,CANDIDATE,K2
TIC 240720796,CANDIDATE,K2
TIC 240720796,CANDIDATE,K2
TIC 240720796,CANDIDATE,K2
TIC 240721474,CANDIDATE,K2
TIC 12688638,CANDIDATE,K2
TIC 240627401,CANDIDATE,K2
TIC 240627401,CANDIDATE,K2
TIC 240811631,CANDIDATE,K2
TIC 102183048,FALSE POSITIVE,K2
TIC 102183048,FALSE POSITIVE,K2
TIC 240720908,CANDIDATE,K2
TIC 206242530,CANDIDATE,K2
TIC 188509852,CANDIDATE,K2
TIC 188509852,CANDIDATE,K2
TIC 188509852,CANDIDATE,K2
TIC 188509852,CANDIDATE,K2
TIC 206244160,CANDIDATE,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 75266189,CONFIRMED,K2
TIC 425075818,CANDIDATE,K2
TIC 425075818,CANDIDATE,K2
TIC 425075818,CANDIDATE,K2
TIC 102179635,CANDIDATE,K2
TIC 12654380,CANDIDATE,K2
TIC 12654380,CANDIDATE,K2
TIC 402314082,CANDIDATE,K2
TIC 145752628,CONFIRMED,K2
TIC 145752628,CANDIDATE,K2
TIC 206244337,CANDIDATE,K2
TIC 206244337,CANDIDATE,K2
TIC 12785571,CONFIRMED,K2
TIC 12785571,CONFIRMED,K2
TIC 12785571,CONFIRMED,K2
TIC 12785571,CONFIRMED,K2
TIC 12785571,CONFIRMED,K2
TIC 188570992,CANDIDATE,K2
TIC 434095095,CANDIDATE,K2
TIC 188506937,CANDIDATE,K2
TIC 188500604,CANDIDATE,K2
TIC 188500604,CANDIDATE,K2
TIC 188500604,CANDIDATE,K2
TIC 188500604,CANDIDATE,K2
TIC 188500604,CANDIDATE,K2
TIC 12651095,FALSE POSITIVE,K2
TIC 50230592,CANDIDATE,K2
TIC 50230592,CANDIDATE,K2
TIC 50230592,CANDIDATE,K2
TIC 50085270,CANDIDATE,K2
TIC 50085270,CANDIDATE,K2
TIC 50089360,CANDIDATE,K2
TIC 250958785,CANDIDATE,K2
TIC 50068386,CANDIDATE,K2
TIC 38207353,CANDIDATE,K2
TIC 38207353,CANDIDATE,K2
TIC 38136597,CANDIDATE,K2
TIC 38211474,CANDIDATE,K2
TIC 38211474,CANDIDATE,K2
TIC 38211474,CANDIDATE,K2
TIC 36576160,CANDIDATE,K2
TIC 39951505,CANDIDATE,K2
TIC 38258419,CANDIDATE,K2
TIC 39999794,CANDIDATE,K2
TIC 39999794,CANDIDATE,K2
TIC 36709376,CANDIDATE,K2
TIC 36709376,CANDIDATE,K2
TIC 36709376,CANDIDATE,K2
TIC 36709376,CANDIDATE,K2
TIC 251004107,CANDIDATE,K2
TIC 38136950,CANDIDATE,K2
TIC 38136950,CANDIDATE,K2
TIC 38136950,CANDIDATE,K2
TIC 38136950,CANDIDATE,K2
TIC 36578206,CANDIDATE,K2
TIC 38355468,CONFIRMED,K2
TIC 38355468,CONFIRMED,K2
TIC 38355468,CONFIRMED,K2
TIC 38355468,CANDIDATE,K2
TIC 38355468,CANDIDATE,K2
TIC 50129964,CANDIDATE,K2
TIC 38298843,CANDIDATE,K2
TIC 250973122,CANDIDATE,K2
TIC 50183750,FALSE POSITIVE,K2
TIC 251003731,CANDIDATE,K2
TIC 205829973,CANDIDATE,K2
TIC 205829973,CANDIDATE,K2
TIC 205829973,CANDIDATE,K2
TIC 38355889,CANDIDATE,K2
TIC 40001194,CANDIDATE,K2
TIC 40001194,CANDIDATE,K2
TIC 250956584,CANDIDATE,K2
TIC 250956593,CONFIRMED,K2
TIC 250956593,CONFIRMED,K2
TIC 250956593,CONFIRMED,K2
TIC 250956593,CONFIRMED,K2
TIC 250956593,CONFIRMED,K2
TIC 250956642,CANDIDATE,K2
TIC 40001322,CANDIDATE,K2
TIC 50181299,CANDIDATE,K2
TIC 250971988,CANDIDATE,K2
TIC 250971988,CANDIDATE,K2
TIC 250956798,CANDIDATE,K2
TIC 2024257567,CANDIDATE,K2
TIC 38154097,CANDIDATE,K2
TIC 40001824,CANDIDATE,K2
TIC 40001824,CANDIDATE,K2
TIC 40001824,CANDIDATE,K2
TIC 176106162,CANDIDATE,K2
TIC 176106162,CANDIDATE,K2
TIC 250321939,CANDIDATE,K2
TIC 250314667,CANDIDATE,K2
TIC 439837578,CANDIDATE,K2
TIC 439856939,CANDIDATE,K2
TIC 439850033,CANDIDATE,K2
TIC 439850033,CANDIDATE,K2
TIC 439850033,CANDIDATE,K2
TIC 439861938,CANDIDATE,K2
TIC 439861938,CANDIDATE,K2
TIC 439861938,CANDIDATE,K2
TIC 387141176,CANDIDATE,K2
TIC 438065409,FALSE POSITIVE,K2
TIC 55265311,CANDIDATE,K2
TIC 331872038,CANDIDATE,K2
TIC 238586172,CANDIDATE,K2
TIC 238586172,CANDIDATE,K2
TIC 426586437,CANDIDATE,K2
TIC 83017021,CANDIDATE,K2
TIC 242990922,CANDIDATE,K2
TIC 348667600,CANDIDATE,K2
TIC 435332935,CANDIDATE,K2
TIC 348667759,CANDIDATE,K2
TIC 243011824,CANDIDATE,K2
TIC 243011824,CANDIDATE,K2
TIC 242968550,FALSE POSITIVE,K2
TIC 242968550,FALSE POSITIVE,K2
TIC 435880578,FALSE POSITIVE,K2
TIC 435880578,FALSE POSITIVE,K2
TIC 435880578,FALSE POSITIVE,K2
TIC 242994397,CANDIDATE,K2
TIC 242994397,CANDIDATE,K2
TIC 434260570,CANDIDATE,K2
TIC 434260570,CANDIDATE,K2
TIC 435880130,CANDIDATE,K2
TIC 242993941,CANDIDATE,K2
TIC 242988068,CANDIDATE,K2
TIC 389006033,FALSE POSITIVE,K2
TIC 389006033,FALSE POSITIVE,K2
TIC 435913263,CANDIDATE,K2
TIC 243030574,CANDIDATE,K2
TIC 243030574,CANDIDATE,K2
TIC 242982776,CANDIDATE,K2
TIC 242982776,CANDIDATE,K2
TIC 242982776,CANDIDATE,K2
TIC 243008817,CANDIDATE,K2
TIC 243008817,CANDIDATE,K2
TIC 435298056,CANDIDATE,K2
TIC 434165964,CANDIDATE,K2
TIC 434165964,CANDIDATE,K2
TIC 673674372,CANDIDATE,K2
TIC 673674372,CANDIDATE,K2
TIC 434133200,CANDIDATE,K2
TIC 434133200,CANDIDATE,K2
TIC 243017567,CANDIDATE,K2
TIC 243017567,CANDIDATE,K2
TIC 435305058,CANDIDATE,K2
TIC 59004498,CANDIDATE,K2
TIC 434129836,CANDIDATE,K2
TIC 434129836,CANDIDATE,K2
TIC 435334561,CANDIDATE,K2
TIC 435279642,CANDIDATE,K2
TIC 242942524,CANDIDATE,K2
TIC 242942524,CANDIDATE,K2
TIC 25958209,CANDIDATE,K2
TIC 25958209,CANDIDATE,K2
TIC 25958209,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 26055820,CANDIDATE,K2
TIC 113953280,CANDIDATE,K2
